Date,Facebook,Apple,Google,Tesla,Intel,Advanced Micro Devices,Microsoft,Genpact
30-08-2019,185.669998,207.06192,1190.530029,225.610001,46.655891,31.450001,137.01825,40.686516
03-09-2019,182.389999,204.046341,1169.550049,225.009995,46.232731,30.9,135.209351,40.507713
04-09-2019,187.139999,207.508316,1182.27002,220.679993,48.141872,30.950001,136.789658,40.924911
05-09-2019,190.899994,211.565414,1212.189941,229.580002,49.303104,31.5,139.19487,41.292442
06-09-2019,187.490005,211.545578,1206.319946,227.449997,50.110058,30.559999,138.250671,41.431507
09-09-2019,188.759995,212.448273,1205.27002,231.789993,50.769405,30.5,136.680328,40.547447
10-09-2019,186.169998,214.957916,1205.699951,235.539993,50.995747,30.23,135.249115,39.318134
11-09-2019,188.490005,221.792542,1220,247.100006,51.950317,29.76,135.288849,39.059334
12-09-2019,187.470001,221.296555,1234.969971,245.869995,52.166817,30.209999,136.680328,39.477398
13-09-2019,187.190002,216.991455,1240.030029,245.199997,51.704296,30.690001,136.481537,39.109104
16-09-2019,186.220001,218.132202,1231.630005,242.809998,51.369705,30.83,135.497589,39.218594
17-09-2019,188.080002,218.925781,1229.880005,244.789993,51.12368,30.99,136.551117,39.726246
18-09-2019,188.139999,220.979141,1232.650024,243.490005,50.917023,30.42,137.67421,39.427628
19-09-2019,190.139999,219.183701,1238.75,246.600006,50.749722,30.290001,140.208649,39.537125
20-09-2019,189.929993,215.97963,1229.839966,240.619995,49.913242,30.049999,138.588593,38.770668
23-09-2019,186.820007,216.961685,1234.689941,241.229996,50.090385,30.639999,138.290421,38.750759
24-09-2019,181.279999,215.930038,1218.329956,223.210007,49.027557,29.52,136.541183,38.47205
25-09-2019,182.800003,219.253113,1245.939941,228.699997,50.208473,29.540001,138.509079,38.611404
26-09-2019,180.110001,218.122284,1242.290039,242.559998,50.110058,29.469999,138.687973,38.850296
27-09-2019,177.100006,217.060898,1225.949951,242.130005,49.972286,28.719999,136.889023,37.964397
30-09-2019,178.080002,222.169479,1221.140015,240.869995,50.710358,28.99,138.181091,38.571587
01-10-2019,175.809998,222.7845,1206,244.690002,49.952606,28.76,136.233078,38.442184
02-10-2019,174.600006,217.199768,1177.920044,243.130005,48.604397,28.309999,133.827835,38.073891
03-10-2019,179.380005,219.0448,1189.430054,233.029999,49.234215,28.68,135.447891,38.113708
04-10-2019,180.449997,225.185043,1210.959961,231.429993,50.110058,29.01,137.276642,38.3526
07-10-2019,179.679993,225.234634,1208.25,237.720001,49.814831,28.93,136.282761,38.143566
08-10-2019,177.75,222.596024,1190.130005,240.050003,48.938992,28.23,134.841614,37.207897
09-10-2019,179.850006,225.204895,1202.400024,244.529999,49.677059,28.459999,137.39592,37.446789
10-10-2019,180.029999,228.24028,1209.469971,244.740005,50.297039,28.379999,138.250671,37.765316
11-10-2019,184.190002,234.311081,1215.709961,247.889999,51.261452,29.75,138.827118,38.243103
14-10-2019,183.279999,233.973816,1217.77002,256.959991,50.818607,30.530001,138.697922,37.97435
15-10-2019,188.889999,233.428253,1242.23999,257.890015,51.812546,30.719999,140.705597,38.541729
16-10-2019,189.550003,232.48587,1243,259.75,51.615726,30.809999,139.552673,38.372509
17-10-2019,190.389999,233.388565,1252.800049,261.970001,51.035114,31.139999,138.837067,38.820438
18-10-2019,185.850006,234.509491,1244.410034,256.950012,50.543064,30.969999,136.570984,38.90007
21-10-2019,189.759995,238.576508,1244.280029,253.5,51.300816,32.029999,137.584747,38.969746
22-10-2019,182.339996,238.030945,1241.199951,255.580002,51.182724,31.51,135.537338,37.655823
23-10-2019,186.149994,241.225052,1257.630005,254.679993,50.897335,31.360001,136.402039,37.904675
24-10-2019,186.380005,241.621826,1259.109985,299.679993,51.399223,31.719999,139.085556,38.372509
25-10-2019,187.889999,244.597717,1264.300049,328.130005,55.561943,32.709999,139.870712,38.014164
28-10-2019,189.399994,247.047867,1288.97998,327.709991,55.85717,33.689999,143.309601,38.223198
29-10-2019,189.309998,241.334152,1260.660034,316.220001,55.443851,33.029999,141.957901,38.631313
30-10-2019,188.25,241.304398,1260.699951,315.01001,55.699715,33.130001,143.727036,38.999607
31-10-2019,191.649994,246.760193,1258.800049,314.920013,55.630825,33.93,142.494583,38.989655
01-11-2019,193.619995,253.763443,1272.25,313.309998,55.611149,34.889999,142.842468,39.497307
04-11-2019,194.720001,255.429932,1289.609985,317.470001,56.693653,36.290001,143.667404,39.766064
05-11-2019,194.320007,255.062927,1291.439941,317.220001,56.634605,36.150002,143.577957,39.427628
06-11-2019,191.550003,255.172012,1291.01001,326.579987,56.995773,35.93,143.180374,40.004959
07-11-2019,190.419998,258.117004,1306.939941,335.540009,57.441055,36.279999,143.37915,40.194084
08-11-2019,190.839996,258.823456,1309,337.140015,57.658749,36.290001,145.068787,39.17878
11-11-2019,189.610001,260.873016,1298.280029,345.089996,57.737904,36.310001,145.217865,39.387814
12-11-2019,194.470001,260.634216,1297.209961,349.929993,57.589481,36.709999,146.172012,39.576939
13-11-2019,193.190002,263.131531,1296.180054,346.109985,57.282734,37.52,146.410538,39.537125
14-11-2019,193.149994,261.310791,1309.150024,349.350006,57.203575,38.349998,147.15596,40.09454
15-11-2019,195.100006,264.415009,1333.540039,352.170013,57.351997,38.560001,149.054306,40.53252
18-11-2019,197.399994,265.74823,1319.839966,349.98999,57.638958,39.880001,149.422043,40.293621
19-11-2019,199.320007,264.942322,1312.589966,359.519989,57.737904,41.290001,149.471725,41.060078
20-11-2019,197.509995,261.858032,1301.859985,352.220001,57.292629,40.98,149.212433,40.632057
21-11-2019,197.929993,260.68399,1300.140015,354.829987,57.609272,39.52,149.072815,40.213989
22-11-2019,198.820007,260.455139,1293.670044,333.040009,57.005672,39.150002,149.182526,39.537125
25-11-2019,199.789993,265.021912,1305.640015,336.339996,58.193081,39.790001,150.818054,40.253803
26-11-2019,198.970001,262.952423,1313,328.920013,58.282143,38.990002,151.615875,40.622105
27-11-2019,202,266.484467,1312.130005,331.290009,57.896229,39.41,151.90509,40.74155
29-11-2019,201.639999,265.897461,1304.089966,329.940002,57.441055,39.150002,150.967651,40.512611
02-12-2019,199.699997,262.82309,1288.859985,334.869995,57.055149,38.73,149.142639,39.736198
03-12-2019,198.820007,258.136963,1294.73999,336.200012,55.481823,38.900002,148.90329,39.666519
04-12-2019,198.710007,260.415344,1318.939941,333.029999,55.43235,39.689999,149.441818,40.223946
05-12-2019,199.360001,264.235901,1326.959961,330.369995,55.491722,39.619999,149.521591,40.403114
06-12-2019,201.050003,269.339935,1339.390015,335.890015,56.214066,39.630001,151.336639,40.557724
09-12-2019,201.339996,265.569122,1342.98999,339.529999,55.936996,38.93,150.947708,40.388153
10-12-2019,200.869995,267.121246,1342.890015,348.839996,55.996368,39.439999,150.718338,40.4879
11-12-2019,202.259995,269.399658,1344.25,352.700012,56.471336,39.470001,151.286774,40.846996
12-12-2019,196.75,270.086151,1348.48999,359.679993,56.946301,42.59,152.822586,41.036518
13-12-2019,194.110001,273.757477,1346.869995,358.390015,57.183784,41.150002,154.10907,41.365688
16-12-2019,197.919998,278.443604,1360.699951,381.5,57.094727,42.349998,155.106339,41.545235
17-12-2019,198.389999,278.990875,1354.890015,378.98999,56.698921,42.77,154.268631,41.445484
18-12-2019,202.5,278.324249,1351.910034,393.149994,56.570282,42.299999,153.949509,41.30584
19-12-2019,206.059998,278.602814,1356.439941,404.040009,57.351997,42.830002,155.285858,41.335762
20-12-2019,206.300003,278.025757,1351.219971,405.589996,58.331612,44.150002,156.981232,42.343224
23-12-2019,206.179993,282.562683,1350.630005,419.220001,58.608677,45.459999,156.981232,42.29335
24-12-2019,205.119995,282.831299,1344.430054,425.25,58.786789,46.540001,156.951309,42.253448
26-12-2019,207.789993,288.44278,1362.469971,430.940002,59.19249,46.630001,158.237793,42.462921
27-12-2019,208.100006,288.333313,1354.640015,430.380005,59.449764,46.18,158.527008,42.283371
